Name,Year,Team,BA,OBP,SLG,OPS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GDP,HBP,SH,SF,IBB,RISP,PHBA
Ko Young-min,2016,Doosan Bears,0.25,0.4,0.5,0.9,8.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.333
Ko Young-min,2015,Doosan Bears,0.328,0.403,0.478,0.881,41.0,77.0,67.0,13.0,22.0,1.0,0.0,3.0,11.0,4.0,2.0,6.0,22.0,32.0,4.0,3.0,0.0,1.0,0.0,0.24,0.444
Ko Young-min,2014,Doosan Bears,0.287,0.355,0.34,0.695,52.0,108.0,94.0,18.0,27.0,2.0,0.0,1.0,7.0,1.0,1.0,11.0,18.0,32.0,3.0,0.0,1.0,2.0,0.0,0.2,0.294
Ko Young-min,2013,Doosan Bears,0.286,0.412,0.571,0.983,10.0,17.0,14.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,5.0,8.0,1.0,0.0,0.0,1.0,0.0,0.25,0.333
Ko Young-min,2012,Doosan Bears,0.265,0.335,0.404,0.739,58.0,173.0,151.0,33.0,40.0,10.0,1.0,3.0,26.0,7.0,1.0,13.0,28.0,61.0,5.0,3.0,,,,,
Ko Young-min,2011,Doosan Bears,0.21,0.305,0.301,0.606,93.0,208.0,176.0,31.0,37.0,5.0,1.0,3.0,16.0,6.0,6.0,18.0,50.0,53.0,4.0,7.0,,,,,
Ko Young-min,2010,Doosan Bears,0.205,0.316,0.307,0.623,100.0,344.0,293.0,53.0,60.0,10.0,1.0,6.0,35.0,11.0,3.0,34.0,67.0,90.0,4.0,14.0,,,,,
Ko Young-min,2009,Doosan Bears,0.235,0.339,0.359,0.698,85.0,331.0,281.0,59.0,66.0,11.0,3.0,6.0,29.0,12.0,4.0,33.0,76.0,101.0,3.0,13.0,,,,,
Ko Young-min,2008,Doosan Bears,0.267,0.388,0.379,0.767,126.0,528.0,427.0,84.0,114.0,15.0,3.0,9.0,70.0,39.0,9.0,74.0,109.0,162.0,10.0,14.0,,,,,
Ko Young-min,2007,Doosan Bears,0.268,0.373,0.419,0.792,126.0,536.0,444.0,89.0,119.0,29.0,1.0,12.0,66.0,36.0,10.0,61.0,105.0,186.0,9.0,17.0,,,,,
Ko Young-min,2006,Doosan Bears,0.27,0.344,0.368,0.712,116.0,359.0,315.0,38.0,85.0,15.0,5.0,2.0,29.0,14.0,10.0,24.0,59.0,116.0,6.0,12.0,,,,,
Ko Young-min,2005,Doosan Bears,0.118,0.167,0.118,0.285,16.0,18.0,17.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,,,,,
Ko Young-min,2003,Doosan Bears,0.231,0.231,0.231,0.462,32.0,13.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,
Ko Young-min,2002,Doosan Bears,0.1,0.1,0.1,0.2,16.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,
Kook Hae-seong,2023,Lotte Giants,0.25,0.4,0.25,0.65,6.0,10.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Kook Hae-seong,2021,Doosan Bears,0.125,0.125,0.125,0.25,4.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kook Hae-seong,2020,Doosan Bears,0.233,0.287,0.349,0.636,46.0,94.0,86.0,10.0,20.0,1.0,0.0,3.0,17.0,1.0,1.0,6.0,21.0,30.0,2.0,1.0,0.0,1.0,2.0,0.296,0.278
Kook Hae-seong,2019,Doosan Bears,0.171,0.293,0.257,0.55,21.0,41.0,35.0,2.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,5.0,13.0,9.0,3.0,1.0,0.0,0.0,0.0,0.111,0.167
Kook Hae-seong,2018,Doosan Bears,0.333,0.429,0.458,0.887,14.0,28.0,24.0,4.0,8.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,5.0,11.0,1.0,1.0,0.0,0.0,0.0,0.2,0.167
Kook Hae-seong,2017,Doosan Bears,0.209,0.281,0.349,0.63,57.0,96.0,86.0,15.0,18.0,3.0,0.0,3.0,17.0,0.0,0.0,5.0,23.0,30.0,2.0,4.0,0.0,1.0,0.0,0.385,0.118
Kook Hae-seong,2016,Doosan Bears,0.278,0.368,0.43,0.798,58.0,174.0,151.0,28.0,42.0,11.0,0.0,4.0,24.0,1.0,1.0,21.0,36.0,65.0,1.0,1.0,0.0,1.0,0.0,0.378,0.0
Kook Hae-seong,2015,Doosan Bears,0.2,0.28,0.4,0.68,11.0,26.0,20.0,6.0,4.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,5.0,8.0,2.0,1.0,1.0,2.0,0.0,0.167,0.0
Kook Hae-seong,2012,Doosan Bears,0.0,0.0,0.0,0.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,
